Longitude,Latitude,GrainMassFlow,GPSTime,CycleDuration,TravelSpeed,SwathWidth,GrainMoisture,Header,Pass,Field,Load,LoadNumber,Crop,GPSStatus,PDOP,Altitude
-85.162355,40.264987,0.00,485996,1,58,15,17.8,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162373,40.264987,0.00,485997,1,59,15,17.8,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162392,40.264985,0.00,485998,1,59,15,17.8,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162408,40.264985,0.00,485999,1,58,15,17.8,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162408,40.264985,0.00,485999,1,59,15,17.8,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162443,40.264985,0.00,486001,1,58,15,17.8,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162460,40.264985,0.00,486002,1,58,15,17.8,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162478,40.264985,0.00,486003,1,58,15,17.8,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162495,40.264985,0.00,486004,1,57,15,17.8,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162495,40.264985,0.00,486004,1,58,15,17.8,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162530,40.264985,0.00,486006,1,58,15,17.8,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162545,40.264985,0.00,486007,1,58,15,17.8,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162563,40.264987,0.00,486008,1,58,15,17.8,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162580,40.264985,1.47,486009,1,58,15,17.6,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162598,40.264985,4.48,486010,1,58,15,17.8,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162613,40.264985,6.60,486011,1,58,15,17.4,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162630,40.264987,9.11,486012,1,58,15,17.4,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162647,40.264985,11.20,486013,1,59,15,17.3,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162667,40.264987,10.91,486014,1,59,15,16.9,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162683,40.264987,10.44,486015,1,59,15,16.7,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162700,40.264985,10.10,486016,1,58,15,16.9,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162717,40.264987,10.65,486017,1,58,15,17.0,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162735,40.264988,8.92,486018,1,60,15,17.0,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162752,40.264987,9.00,486019,1,58,15,17.0,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162770,40.264987,10.03,486020,1,59,15,17.1,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162790,40.264987,10.88,486021,1,59,15,17.2,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162808,40.264985,11.76,486022,1,60,15,17.2,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162825,40.264987,11.54,486023,1,60,15,17.2,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162843,40.264985,12.00,486024,1,59,15,17.1,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162843,40.264985,11.75,486024,1,61,15,17.0,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162880,40.264985,12.66,486026,1,61,15,17.1,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162897,40.264987,12.08,486027,1,61,15,17.0,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162915,40.264987,12.06,486028,1,61,15,16.8,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162933,40.264987,11.53,486029,1,61,15,17.2,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162933,40.264987,10.49,486029,1,61,15,17.2,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162968,40.264988,11.34,486031,1,60,15,16.9,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.162988,40.264990,10.86,486032,1,61,15,17.0,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.163005,40.264988,11.33,486033,1,60,15,17.0,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.163023,40.264988,11.64,486034,1,60,15,17.0,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.163035,40.264990,10.93,486035,1,45,15,17.0,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.163042,40.264990,11.74,486036,1,27,15,17.1,Down,1,0,End Rows,1,Corn,2,3.2,299
-85.163040,40.264990,11.54,486037,1,0,15,17.0,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.163037,40.264990,12.23,486038,1,0,15,17.3,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.163032,40.264990,11.59,486039,1,0,15,17.3,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.163027,40.264990,10.58,486040,1,0,15,17.0,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.163015,40.264990,11.48,486041,1,0,15,17.4,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.163002,40.264988,10.53,486042,1,0,15,16.9,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162987,40.264988,10.61,486043,1,0,15,17.0,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162967,40.264987,10.48,486044,1,0,15,17.1,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162945,40.264987,9.34,486045,1,0,15,17.1,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162925,40.264987,8.53,486046,1,0,15,16.6,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162902,40.264985,8.24,486047,1,0,15,17.0,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162882,40.264985,5.48,486048,1,0,15,17.0,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162858,40.264985,3.82,486049,1,0,15,17.1,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162858,40.264985,2.41,486049,1,0,15,17.1,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162815,40.264985,0.91,486051,1,0,15,17.1,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162793,40.264985,0.52,486052,1,0,15,17.1,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162772,40.264982,0.35,486053,1,0,15,17.1,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162752,40.264982,0.46,486054,1,0,15,17.1,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162752,40.264982,0.00,486054,1,0,15,17.1,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162707,40.264980,0.00,486056,1,0,15,17.1,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162685,40.264977,0.00,486057,1,0,15,17.1,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162663,40.264977,0.00,486058,1,0,15,17.1,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162642,40.264978,0.00,486059,1,0,15,17.1,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162618,40.264975,0.00,486060,1,0,15,17.1,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162598,40.264977,0.00,486061,1,0,15,17.1,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162577,40.264977,0.00,486062,1,0,15,17.1,Up,1,0,End Rows,1,Corn,2,3.2,299
