Longitude,Latitude,GrainMassFlow,GPSTime,CycleDuration,TravelSpeed,SwathWidth,GrainMoisture,Header,Pass,Field,Load,LoadNumber,Crop,GPSStatus,PDOP,Altitude
-85.165100,40.271477,12.17,134830,1,52,15,16.2,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165085,40.271477,12.49,134831,1,53,15,16.3,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165072,40.271477,12.82,134832,1,52,15,16.1,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165055,40.271477,13.28,134833,1,53,15,15.9,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165040,40.271475,12.84,134834,1,53,15,16.2,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165025,40.271477,12.77,134835,1,53,15,16.3,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165008,40.271477,12.40,134836,1,53,15,16.0,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.164993,40.271477,11.61,134837,1,53,15,16.1,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.164977,40.271475,11.03,134838,1,54,15,15.6,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.164962,40.271475,10.42,134839,1,54,15,16.0,Down,1,0,End Rows,1,Corn,2,2.0,298
-85.164940,40.271478,11.04,134840,1,55,15,15.9,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.164928,40.271475,10.88,134841,1,54,15,16.0,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.164913,40.271472,11.35,134842,1,52,15,15.8,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.164900,40.271472,10.98,134843,1,52,15,15.9,Down,1,0,End Rows,1,Corn,2,2.0,296
-85.164885,40.271468,10.73,134844,1,54,15,15.7,Down,1,0,End Rows,1,Corn,2,2.0,296
-85.164872,40.271467,10.59,134845,1,52,15,15.8,Down,1,0,End Rows,1,Corn,2,2.0,296
-85.164858,40.271462,10.89,134846,1,51,15,15.6,Down,1,0,End Rows,1,Corn,2,2.0,296
-85.164850,40.271460,11.17,134847,1,49,15,15.7,Down,1,0,End Rows,1,Corn,2,2.0,296
-85.164837,40.271462,11.02,134848,1,46,15,15.9,Down,1,0,End Rows,1,Corn,2,2.0,295
-85.164828,40.271463,9.59,134849,1,41,15,16.1,Down,1,0,End Rows,1,Corn,2,2.0,296
-85.164818,40.271463,9.82,134850,1,34,15,15.9,Down,1,0,End Rows,1,Corn,2,2.0,295
-85.164815,40.271465,9.62,134851,1,25,15,16.0,Down,1,0,End Rows,1,Corn,2,2.0,296
-85.164808,40.271465,8.98,134852,1,22,15,16.0,Down,1,0,End Rows,1,Corn,2,2.0,295
