X,Y,DISTANCE,SWATHWIDTH,VRYIELDVOL,SECTIONID,Crop,WetMass,Moisture,Time,Heading,VARIETY
-127654.271391534,739326.866703024,6.62624004,5.00000000,111.31786653,328,173,6277.08445774,15.59000000,10/12/2015 8:49:01 PM,1.07468744,5893VT2RIB 98day
-127652.754339815,739326.78646083,6.62624004,5.00000000,111.31786653,329,173,6277.08445774,15.59000000,10/12/2015 8:49:01 PM,1.07468744,5893VT2RIB 98day
-127651.237288107,739326.706218583,6.62624004,5.00000000,111.31786653,330,173,6277.08445774,15.59000000,10/12/2015 8:49:01 PM,1.07468744,5893VT2RIB 98day
-127649.720236411,739326.6259763,6.62624004,5.00000000,111.31786653,331,173,6277.08445774,15.59000000,10/12/2015 8:49:01 PM,1.07468744,5893VT2RIB 98day
-127657.238550941,739329.026622571,6.59343164,5.00000000,106.48569925,326,173,6004.60411521,15.59000000,10/12/2015 8:49:02 PM,0.82468744,5893VT2RIB 98day
-127655.721164326,739328.953046174,6.59343164,5.00000000,106.48569925,327,173,6004.60411521,15.59000000,10/12/2015 8:49:02 PM,0.82468744,5893VT2RIB 98day
-127654.203777722,739328.879469731,6.59343164,5.00000000,106.48569925,328,173,6004.60411521,15.59000000,10/12/2015 8:49:02 PM,0.82468744,5893VT2RIB 98day
-127652.686391129,739328.805893238,6.59343164,5.00000000,106.48569925,329,173,6004.60411521,15.59000000,10/12/2015 8:49:02 PM,0.82468744,5893VT2RIB 98day
-127651.169004545,739328.7323167,6.59343164,5.00000000,106.48569925,330,173,6004.60411521,15.59000000,10/12/2015 8:49:02 PM,0.82468744,5893VT2RIB 98day
-127649.651617971,739328.65874011,6.59343164,5.00000000,106.48569925,331,173,6004.60411521,15.59000000,10/12/2015 8:49:02 PM,0.82468744,5893VT2RIB 98day
-127657.170230329,739331.044444239,6.65904844,5.00000000,101.73302185,326,173,5736.60465472,15.59000000,10/12/2015 8:49:03 PM,0.50468744,5893VT2RIB 98day
-127655.652457246,739330.979401975,6.65904844,5.00000000,101.73302185,327,173,5736.60465472,15.59000000,10/12/2015 8:49:03 PM,0.50468744,5893VT2RIB 98day
-127654.134684172,739330.914359659,6.65904844,5.00000000,101.73302185,328,173,5736.60465472,15.59000000,10/12/2015 8:49:03 PM,0.50468744,5893VT2RIB 98day
-127652.616911109,739330.849317293,6.65904844,5.00000000,101.73302185,329,173,5736.60465472,15.59000000,10/12/2015 8:49:03 PM,0.50468744,5893VT2RIB 98day
-127651.099138055,739330.784274881,6.65904844,5.00000000,101.73302185,330,173,5736.60465472,15.59000000,10/12/2015 8:49:03 PM,0.50468744,5893VT2RIB 98day
-127649.58136501,739330.719232419,6.65904844,5.00000000,101.73302185,331,173,5736.60465472,15.59000000,10/12/2015 8:49:03 PM,0.50468744,5893VT2RIB 98day
-127657.116895566,739333.078826501,6.62624004,5.00000000,90.95571761,326,173,5128.88576358,15.59000000,10/12/2015 8:49:04 PM,0.64468744,5893VT2RIB 98day
-127655.599285653,739333.010050276,6.62624004,5.00000000,90.95571761,327,173,5128.88576358,15.59000000,10/12/2015 8:49:04 PM,0.64468744,5893VT2RIB 98day
-127654.081675751,739332.941274004,6.62624004,5.00000000,90.95571761,328,173,5128.88576358,15.59000000,10/12/2015 8:49:04 PM,0.64468744,5893VT2RIB 98day
-127652.564065857,739332.87249768,6.62624004,5.00000000,90.95571761,329,173,5128.88576358,15.59000000,10/12/2015 8:49:04 PM,0.64468744,5893VT2RIB 98day
-127651.046455974,739332.80372131,6.62624004,5.00000000,90.95571761,330,173,5128.88576358,15.59000000,10/12/2015 8:49:04 PM,0.64468744,5893VT2RIB 98day
-127649.528846101,739332.734944886,6.62624004,5.00000000,90.95571761,331,173,5128.88576358,15.59000000,10/12/2015 8:49:04 PM,0.64468744,5893VT2RIB 98day
